ticker,price,market_cap,pe,dividend_yield,profit_margin,revenue_growth,roe,beta
DVA,235.58,15120702464.0,22.695568,,0.056479998,0.06,0.80981004,0.882
DECK,107.8,14971367424.0,15.356126,,0.18714,0.096,0.40859002,1.167
DE,585.64,158185635840.0,33.16195,1.1,0.10104,-0.111,0.18349001,0.897
DELL,427.11,275973865472.0,33.97852,0.58,0.062750004,0.875,,1.376
DAL,86.19,56680529920.0,14.293532,0.89,0.05784,0.187,0.20125,1.288
DVN,43.73,50438320128.0,12.181059,2.46,0.14172,-0.008,0.15178001,0.432
DXCM,,,,,,,,
FANG,191.6,53899632640.0,195.51021,2.3,0.01964,0.042,0.0047400002,0.407
DLR,177.92,66945777664.0,47.193634,2.7,0.21823,0.167,0.05688,1.053
DG,123.44,27229214720.0,17.459688,1.98,0.03632,0.034,0.1891,0.247
DLTR,126.38,24287025152.0,20.285713,,0.06514,0.072,0.33976,0.651
D,70.8,62269489152.0,20.884956,3.77,0.16929,0.231,0.09787,0.636
DPZ,309.85,10306190336.0,17.838226,2.57,0.118879996,0.035,,0.975
DASH,189.57,82599198720.0,90.27144,,0.0629,0.331,0.09922,1.779
DOV,214.27,28853901312.0,26.817272,0.97,0.13304,0.101,0.14998001,1.16
DOW,30.37,21888917504.0,,4.61,-0.07244,-0.061,-0.15262,0.435
DHI,148.85,42210828288.0,13.989662,1.21,0.09513,-0.023,0.13084,1.361
DTE,150.64,31337385984.0,24.735632,3.1,0.07654,0.158,0.10423,0.381
DUK,126.86,98899574784.0,19.516924,3.36,0.15706,0.113,0.09661,0.373
DD,132.66,17911674880.0,116.36842,1.81,-0.00419,0.043,0.00896,1.083
ETN,402.85,156426649600.0,39.37928,1.09,0.13986,0.168,0.20844999,1.181
EBAY,115.09,51099959296.0,26.579676,1.06,0.17615,0.195,0.42875,1.365
ECHO,92.9,26923675648.0,,,-0.97559,-0.052,-1.1228399,1.004
ECL,271.85,76508790784.0,36.786198,1.07,0.12798999,0.1,0.22427,0.895
EIX,75.97,29232797696.0,8.257609,4.67,0.18124,0.077,0.18864,0.649
EW,91.79,52852682752.0,49.616215,,0.1739,0.167,0.1046,0.855
EA,206.35,51742572544.0,58.789177,0.37,0.11778,0.119,0.1349,0.641
ELV,425.17,92330934272.0,18.015678,1.65,0.02616,0.026,0.12086,0.683
EME,764.9,34062962688.0,25.710926,0.2,0.07537,0.197,0.39229,1.126
EMR,135.38,75826339840.0,31.337963,1.64,0.13354,0.029,0.12328,1.244
ETR,114.84,53583781888.0,29.295918,2.23,0.13414,0.12,0.10751,0.489
EOG,139.61,74360274944.0,13.741142,2.92,0.23322001,0.156,0.18195,0.261
EQT,49.72,31098767360.0,9.434535,1.35,0.35074002,0.499,0.13402,0.55
EFX,172.61,20822738944.0,30.389086,1.35,0.11123,0.143,0.1437,1.316
EQIX,1039.53,102522863616.0,71.64232,1.87,0.14928001,0.121,0.10059,0.971
EQR,69.72,26938134528.0,27.888,4.09,0.30632,0.025,0.08671,0.754
ERIE,247.17,12924486656.0,22.613905,2.32,0.13971,0.023,0.2585,0.286
ESS,297.48,20504164352.0,33.46232,3.53,0.29132,0.064,0.105579995,0.715
EL,81.15,29359656960.0,,1.69,-0.01672,0.046,-0.05949,1.261
EG,377.89,14953712640.0,7.6916347,2.16,0.11732,-0.047,0.13822,0.287
EVRG,86.45,19927851008.0,22.99202,3.22,0.14626999,0.05,0.08866999,0.524
ES,74.86,28153352192.0,16.029978,4.21,0.12549,0.094,0.10912,0.714
EXC,47.09,48182870016.0,17.123636,3.59,0.11212,0.079,0.09764,0.405
EXE,87.1,20836833280.0,6.4806547,3.66,0.24906999,0.41,0.17568001,0.326
EXPE,265.63,31881465856.0,23.46555,0.66,0.098079994,0.147,0.71494,1.232
EXPD,175.5,22953844736.0,28.306452,0.92,0.07475,0.044,0.36641,1.038
EXR,145.32,32071241728.0,32.65618,4.5,0.27142,0.038,0.0683,1.2
XOM,144.51,598986326016.0,24.328281,2.85,0.077649996,0.026,0.09873,0.162
FFIV,420.95,23749683200.0,34.589153,,0.21962999,0.11,0.2034,1.03
FDS,263.11,9357649920.0,16.291641,1.76,0.2321,0.064,0.27032,0.715
FICO,1252.7,29643776000.0,40.489388,,0.33675,0.387,,1.29
FAST,47.05,54015049728.0,41.63717,1.98,0.15392,0.124,0.33842,0.713
FRT,120.98,10590137344.0,21.079584,3.71,0.38574,0.103,0.14783,0.932
FDX,313.74,74860478464.0,16.922329,1.55,0.0468,0.125,0.14846,1.337
FDXF,148.37,22093205504.0,32.608788,,0.10398,-0.047,,
FIS,41.93,21672742912.0,8.125969,4.01,0.23347999,0.301,0.17225,0.813
FITB,57.18,51822895104.0,19.252525,2.8,0.24133,0.33,0.07969,0.922
FSLR,221.03,23750416384.0,14.287653,,0.30731001,0.236,0.18436001,1.73
FE,48.43,28013422592.0,26.320652,3.84,0.06944,0.116,0.094610006,0.454
FISV,51.18,27291938816.0,8.674576,,,,,
FLEX,129.5,47447449600.0,55.5794,,0.03153,0.169,0.17347,1.626
F,,55187996672.0,,4.33,,,,
FTNT,160.62,117677981696.0,62.255814,,0.27491,0.201,1.32392,1.09
FTV,62.31,18995890176.0,36.652943,0.39,0.12837,0.077,0.06814,0.977
FOXA,55.9,23472445440.0,14.710526,1.03,0.10561,-0.086,0.152,0.55
FOX,50.22,21087410176.0,13.21579,1.15,0.10561,-0.086,0.152,0.55
BEN,32.83,17059688448.0,25.061071,3.94,0.08124,0.087,0.06704,1.576
FCX,59.97,86210461696.0,31.73016,1.0,0.10344,0.088,0.15630999,1.364
GRMN,243.61,46981701632.0,27.097887,1.73,0.23261,0.142,0.19899,0.914
IT,141.31,9460971520.0,13.963439,,0.1144,-0.015,0.94878,0.963
GE,353.42,369263706112.0,43.848633,0.52,0.17863001,0.247,0.45428002,1.348
GEHC,65.31,29708980224.0,15.66187,0.22,0.091000006,0.074,0.19462,0.839
GEV,1042.6,280167481344.0,30.512146,0.19,0.23809999,0.163,0.75708,0.935
GEN,26.16,15759669248.0,16.66242,1.91,0.19459999,0.27,0.39876997,1.207
GNRC,226.95,13360246784.0,70.921875,,0.04368,0.124,0.07388,1.895
GD,372.78,100810956800.0,23.445284,1.71,0.08068,0.103,0.17974001,0.338
GIS,36.6,19533725696.0,,6.67,-0.00475,0.022,-0.01028,-0.047
GM,76.72,69175754752.0,28.0,0.92,0.0137600005,-0.009,0.040149998,1.309
GPC,123.52,17184362496.0,280.72726,3.38,0.00243,0.068,0.01342,0.642
GILD,131.4,163142287360.0,17.87755,2.53,0.30993,0.044,0.4336,0.343
GPN,76.85,21021818880.0,28.253675,1.3,-0.07967,0.631,0.02935,0.769
GL,178.62,13868906496.0,12.352696,0.74,0.19383,0.054,0.20455,0.47
GDDY,90.86,12030758912.0,14.399366,,0.1732,0.061,3.98215,0.888
GS,1045.91,308551221248.0,19.099892,1.71,0.29363,0.145,0.14548,1.292
HAL,35.21,29414354944.0,19.45304,1.98,0.06947,-0.003,0.14626999,0.725
HIG,140.78,38592135168.0,9.914084,1.7,0.14109,0.061,0.22735001,0.468
HAS,79.53,11252754432.0,,3.52,-0.046240002,0.127,-0.23316,0.482
HCA,390.74,86681681920.0,13.459868,0.77,0.08894,0.043,,1.128
DOC,21.73,14981090304.0,67.90625,5.61,0.07734,0.071,0.027999999,1.004
HSIC,84.495,9772918784.0,25.91843,,0.029509999,0.063,0.08762,0.806
HSY,175.24,35546275840.0,32.63315,3.31,0.09125,0.106,0.23234,0.098
HPE,47.24,62555377664.0,44.149532,1.21,0.040110003,0.4,0.06315,1.438
HLT,322.45,73405218816.0,49.229008,0.19,0.30408,0.11,,1.052
HD,337.11,336137977856.0,23.925478,2.76,0.08411,0.048,1.2838,0.951
HONA,213.05,67524014080.0,46.31522,,0.14388,0.068,,
HON,222.25,70414704640.0,17.751596,4.28,0.1089,0.024,0.24264,0.93
HRL,24.46,13459951616.0,28.776468,4.78,0.03821,-0.029,0.05831,0.328
HST,,,,,,,,
HWM,271.28,108541157376.0,62.941998,0.18,0.20225,0.191,0.33818,1.189
HPQ,24.77,22652727296.0,9.174074,4.95,0.044460002,0.09,,1.212
HUBB,477.03,25207111680.0,28.159975,1.16,0.15105,0.111,0.25822002,0.892
HUM,406.0,48744972288.0,43.28358,0.87,0.00824,0.235,0.062800005,0.717
HBAN,17.93,36346454016.0,13.792309,3.46,0.26597,0.336,0.083859995,0.952
HII,284.86,11224631296.0,18.521456,1.93,0.04709,0.134,0.12198,0.248
IBM,290.23,272782917632.0,25.706821,2.33,0.15606,0.095,0.35772,0.675
IEX,221.48,16392854528.0,32.763313,1.32,0.14382,0.089,0.12748,0.974
IDXX,564.21,44506578944.0,41.54713,,0.24634,0.143,0.72915,1.549
ITW,271.5,78110547968.0,25.18553,2.4,0.19320999,0.046,0.96848,1.011
INCY,114.23,22821115904.0,16.134182,,0.26707,0.209,0.30823,0.758
IR,78.56,30743420928.0,53.081078,0.1,0.075440004,0.076,0.057150003,1.168
PODD,162.06,11225032704.0,37.95316,,0.10438,0.339,0.22997999,1.111
INTC,103.12,518281134080.0,,,-0.05904,0.072,-0.02911,2.187
IBKR,93.56,158698553344.0,40.154507,0.37,0.16106,0.168,0.2356,1.329
ICE,137.67,77854105600.0,20.0393,1.54,0.37671003,0.204,0.13853,0.948
IFF,,,,,,,,
IP,37.0,19592128512.0,,5.0,-0.13767,0.134,-0.16036,0.898
INTU,289.76,79260082176.0,17.679073,1.66,0.21907,0.104,0.22496,0.996
ISRG,407.12,144186769408.0,49.527977,,0.28152,0.23,0.17232999,1.46
IVZ,28.4,12589624320.0,,2.97,-0.03692,0.141,-0.01535,1.597
INVH,30.11,17886605312.0,31.694738,3.99,0.20964001,0.092,0.061929997,0.843
IQV,207.55,34640097280.0,25.846827,,0.08327,0.084,0.22490999,1.2
IRM,122.37,36408094720.0,133.01086,2.84,0.03758,0.216,,1.219
JBHT,283.0,26686672896.0,43.87597,0.64,0.051269997,0.046,0.16676001,1.294
JBL,321.96,33737250816.0,40.29537,0.1,0.02566,0.118,0.65876,1.279
JKHY,150.73,10709484544.0,21.051676,1.58,0.20637,0.087,0.24892001,0.571
J,126.54,14941955072.0,37.43787,1.14,0.028959999,0.27,0.09380999,0.672
JNJ,257.77,620508282880.0,29.765589,2.09,0.21834,0.099,0.26416,0.235
JCI,143.93,87813931008.0,44.01529,1.12,0.14452,0.082,0.13449,1.319
JPM,334.53,896376897536.0,16.106403,1.78,0.33936,0.127,0.16465001,0.982
KVUE,19.23,36921765888.0,23.168674,4.26,0.106070004,0.045,0.15701,0.437
KDP,31.25,42517483520.0,23.148148,2.9,0.10812,0.094,0.06312,0.407
KEY,23.22,25062940672.0,14.2453985,3.53,0.27024,0.118,0.09977,1.024
KEYS,320.83,54828355584.0,51.580387,,0.17312999,0.315,0.18174,1.214
KMB,110.18,36573188096.0,21.31141,4.55,0.12798999,0.027,1.11727,0.279
KIM,25.11,16933926912.0,28.534092,4.18,0.28537,0.04,0.058579996,0.969
KMI,32.1297,71728390144.0,21.637585,3.66,0.18917,0.138,0.10597,0.533
KKR,96.91,90362912768.0,32.962585,0.77,0.116809994,-0.066,0.076630004,1.794
KLAC,222.25,290319663104.0,62.96034,0.4,0.35661998,0.115,0.94975996,1.407
KHC,25.23,29917169664.0,,6.34,-0.23049,0.008,-0.12576,0.077
KR,59.31,36336111616.0,34.68421,2.43,0.00708,0.022,0.13779001,0.435
LHX,288.69,53781487616.0,31.345278,1.72,0.103690006,1.9,,0.746
LH,276.68,22687760384.0,24.506643,1.04,0.06656,0.058,0.11047,0.861
LRCX,329.92,412588408832.0,62.484848,0.32,0.30938998,0.238,0.66762,1.805
LVS,45.9,30415052800.0,16.93727,2.36,0.13406,0.253,0.90455,0.824
LDOS,106.58,13406215168.0,9.751143,1.61,0.08154,0.037,0.30579,0.547
LEN,82.84,19955752960.0,12.984325,2.41,0.04934,-0.052,0.07368,1.394
LII,551.18,19181045760.0,24.507782,0.99,0.1509,0.058,0.76791,1.163
LLY,1181.87,1053922361344.0,42.014576,0.58,0.34986,0.555,1.07459,0.506
LIN,524.06,242297716736.0,34.70596,1.22,0.20436001,0.082,0.18229,0.723
LYV,183.25,42644619264.0,,,0.00327,0.122,0.14927,1.107
LMT,520.68,120049860608.0,25.19013,2.64,0.06382,0.003,0.6764,0.113
L,116.5,23972075520.0,14.821882,0.22,0.08825,0.014,0.09217,0.518
LOW,207.7,116519698432.0,17.542229,2.41,0.075100005,0.103,,0.85
LULU,120.3,13660536832.0,9.654896,,0.13029,0.043,0.32027,0.878
LITE,768.15,59762073600.0,135.23769,,0.17678,0.901,0.22834998,1.482
LYB,58.32,18824808448.0,,7.31,-0.02686,-0.063,-0.060089998,0.362
MTB,242.55,35520249856.0,13.626406,2.48,0.31482,0.057,0.102910005,0.569
MPC,296.88,86670147584.0,18.695215,1.38,0.03407,0.088,0.27458,0.52
MAR,362.87,95684689920.0,37.996857,0.8,0.35969,0.126,,1.106
MRSH,181.53,87460151296.0,22.66292,2.18,0.14264,0.076,0.27571,0.603
MLM,569.35,34187130880.0,35.695923,0.58,0.39905998,0.172,0.0947,1.101
MRVL,,,,,,,,
MAS,76.18,15368129536.0,18.856436,1.68,0.109,0.065,84.57143,1.282
MA,537.7,475103068160.0,31.152956,0.65,0.45876,0.158,2.32076,0.729
MKC,53.75,14450770944.0,8.943427,3.57,0.21912001,0.167,0.24728,0.626
MCD,272.61,193690992640.0,22.47403,2.71,0.31618,0.094,,0.418
MCK,812.28,95099912192.0,21.18623,0.4,0.0117999995,0.06,,0.315
MDT,83.57,106973372416.0,22.404825,3.45,0.13203,0.099,0.098409995,0.583
MRK,124.03,306332336128.0,34.938026,2.74,0.13586001,0.049,0.18944,0.205
META,656.73,1667058630656.0,23.863735,0.31,0.32837,0.331,0.32930002,1.246
MET,93.03,59858923520.0,17.994196,2.55,0.04665,0.027,0.13014,0.778
MTD,1299.53,26260383744.0,30.491085,,0.21395999,0.072,,1.245
MGM,47.24,12086412288.0,64.712326,,0.010299999,0.042,0.13488,1.291
MCHP,84.23,45737598976.0,382.86365,2.16,0.048800003,0.351,0.03405,1.727
MU,937.0,1058241380352.0,21.184717,0.05,0.55906,3.457,0.66638,2.142
MSFT,390.99,2904443584512.0,22.931965,0.93,0.39341998,0.183,0.34013999,1.13
MAA,135.89,16215297024.0,41.178787,4.5,0.176,0.008,0.06711,0.728
MRNA,67.01,26588649472.0,,,-1.4355099,2.602,-0.36556998,0.942
TAP,39.88,7479548416.0,,4.81,-0.18854,0.02,-0.18080999,0.419
MDLZ,59.86,76839280640.0,29.633663,3.34,0.06638,0.082,0.101610005,0.408
MPWR,1291.38,63445499904.0,92.572044,0.59,0.22984,0.261,0.19574,1.71
MNST,97.07,94935244800.0,46.893723,,0.23108,0.269,0.26654,0.527
MCO,495.72,86590603264.0,35.586502,0.83,0.31691,0.081,0.71361,1.335
MS,221.09,348721905664.0,20.044424,1.8,0.24753,0.163,0.16388,1.218
MOS,22.31,7091158528.0,148.73332,3.94,0.0036199999,0.144,0.0059399996,0.825
MSI,418.06,69396111360.0,33.660225,1.16,0.1761,0.074,0.99289,0.885
MSCI,620.23,45107834880.0,34.476376,1.32,0.40737998,0.141,,1.241
NDAQ,89.21,50451894272.0,26.870481,1.26,0.35283002,0.137,0.162,0.997
NTAP,163.93,32117151744.0,26.612013,1.23,0.18426001,0.125,1.06734,1.451
NFLX,73.83,310883254272.0,23.663464,,0.28521,0.162,0.48494998,1.517
NEM,93.1,99389161472.0,12.075227,1.09,0.3387,0.458,0.25832,0.482
NWSA,27.73,15042430976.0,35.101265,0.72,0.1292,0.088,0.06524,0.899
NWS,31.41,17038685184.0,39.75949,0.64,0.1292,0.088,0.06524,0.899
NEE,88.38,184325799936.0,22.31818,2.82,0.29369,0.073,0.10325,0.667
